id,date,vendor,amount,category,description,flagged,risk_score
d97e7a9a-56f6-48cf-8dfc-cbe9817ac7ed,2023-01-01,Delta Airlines,595.77,Rent,Standard business expense,False,0.1
73b2ff7a-c85e-4eba-a96c-b63f8fdee397,2023-01-01,Staples Corporate,54.57,Office Supplies,Standard business expense,False,0.02
ca0fc337-a4a4-4fba-9f6f-b26844bc9c83,2023-01-01,Google Cloud,158.29,Travel,Standard business expense,False,0.05
e9fb7659-c1f2-4142-939e-7e311f36f959,2023-01-01,Microsoft Azure,378.57,Services,Standard business expense,False,0.02
39d63a2d-9a2e-466e-8a9a-5bd1b294e19f,2023-01-01,Microsoft Azure,194.27,Software,Standard business expense,False,0.04
fdfaa39a-1295-4be7-b6e6-aea2cbedcc2c,2023-01-01,Hilton Hotels,171.01,Services,Standard business expense,False,0.01
219e81c8-29c9-4eb3-89f5-812ba59ad5c6,2023-01-01,Uber Business,188.96,Software,Standard business expense,False,0.01
0d9cb374-0af9-40e8-9835-5319c5ad0b9c,2023-01-01,Delta Airlines,161.77,Software,Standard business expense,False,0.1
20a8c32e-0adf-4c86-992b-f90809eff87b,2023-01-02,Delta Airlines,93.12,Services,Standard business expense,False,0.04
727b996c-aa85-4b50-bd2d-0cb99eec7784,2023-01-02,WeWork,277.55,Rent,Standard business expense,False,0.08
bdb220c6-4600-45da-b41b-8776eb22db95,2023-01-02,Slack Technologies,149.36,Travel,Standard business expense,False,0.02
49fe4c58-0392-49a0-ae20-587b40fa4526,2023-01-02,Uline Shipping,184.01,Travel,Standard business expense,False,0.08
d89ff4ac-1eed-4bc5-9e84-bfab81c243c8,2023-01-02,Staples Corporate,690.16,Rent,Standard business expense,False,0.04
dfa4e780-e1c7-4f8b-a52b-47fac45d6565,2023-01-02,Hilton Hotels,642.31,Office Supplies,Standard business expense,False,0.09
7c78e78e-b51c-43e9-ab2a-28dd0da42508,2023-01-02,Staples Corporate,158.71,Software,Standard business expense,False,0.1
8c999805-3caa-48de-97ab-732eb452d6c6,2023-01-02,WeWork,94.64,Utilities,Standard business expense,False,0.08
